h(theta) = g(z),J-theta1 when y = 1,J-theta2 when y = 0 
0.264,0.578396073130169,0.133122185662501
0.265,0.576754126063192,0.133712660915805
0.266,0.575118363368933,0.13430394008393
0.267,0.573488738635424,0.134896025358872
0.268,0.571865205971211,0.135488918941608
0.269,0.570247719997592,0.13608262304214
0.27,0.568636235841012,0.136677139879544
0.271,0.567030709125594,0.137272471682025
0.272,0.565431095965801,0.137868620686963
0.273,0.563837352959244,0.138465589140962
0.274,0.562249437179612,0.139063379299906
0.275,0.560667306169737,0.139661993429006
0.276,0.559090917934782,0.140261433802853
0.277,0.557520230935551,0.140861702705469
0.278,0.555955204081923,0.141462802430361
0.279,0.554395796726402,0.142064735280571
0.28,0.55284196865778,0.142667503568732
0.281,0.55129368009492,0.143271109617117
0.282,0.549750891680638,0.1438755557577
0.283,0.548213564475709,0.1444808443322
0.284,0.546681659952962,0.145086977692145
0.285,0.545155139991489,0.145693958198919
0.286,0.543633966870957,0.146301788223826
0.287,0.542118103266007,0.146910470148135
0.288,0.540607512240769,0.147520006363144
0.289,0.539102157243452,0.148130399270234
0.29,0.537602002101044,0.148741651280925
0.291,0.536107011014092,0.149353764816934
0.292,0.534617148551581,0.149966742310231
0.293,0.53313237964589,0.150580586203101
0.294,0.531652669587842,0.151195298948196
0.295,0.530177984021837,0.151810883008601
0.296,0.528708288941061,0.152427340857888
0.297,0.527243550682787,0.153044674980176
0.298,0.525783735923744,0.153662887870195
0.299,0.52432881167557,0.154281982033341
0.3,0.522878745280337,0.154901959985743
0.301,0.521433504406156,0.155522824254319
0.302,0.519993057042849,0.156144577376839
0.303,0.518557371497695,0.156767221901991
0.304,0.517126416391246,0.157390760389438
0.305,0.515700160653214,0.158015195409886
0.306,0.51427857351842,0.158640529545145
0.307,0.512861624522813,0.159266765388193
0.308,0.511449283499555,0.159893905543242
0.309,0.510041520575165,0.160521952625802
0.31,0.508638306165727,0.161150909262745
0.311,0.507239610973162,0.161780778092374
0.312,0.505845405981557,0.162411561764489
0.313,0.504455662453551,0.16304326294045
0.314,0.503070351926785,0.163675884293248
0.315,0.501689446210399,0.164309428507575
0.316,0.500312917381596,0.164943898279884
0.317,0.498940737782248,0.165579296318468
0.318,0.497572880015567,0.166215625343521
0.319,0.496209316942819,0.166852888087215
0.32,0.494850021680094,0.167491087293764
0.321,0.493494967595128,0.168130225719498
0.322,0.492144128304169,0.168770306132937
0.323,0.490797477668897,0.169411331314856
0.324,0.489454989793387,0.170053304058364
0.325,0.488116639021125,0.170696227168975
0.326,0.486782399932061,0.17134010346468
0.327,0.485452247339714,0.171984935776023
0.328,0.484126156288321,0.172630726946175
0.329,0.482804102050025,0.173277479831008
0.33,0.481486060122112,0.173925197299174
0.331,0.480172006224281,0.174573882232177
0.332,0.478861916295963,0.175223537524454
0.333,0.47755576649368,0.175874166083451
0.334,0.476253533188435,0.176525770829699
0.335,0.474955192963154,0.177178354696896
0.336,0.473660722610156,0.177831920631983
0.337,0.472370099128661,0.178486471595227
0.338,0.471083299722345,0.1791420105603
0.339,0.469800301796917,0.17979854051436
0.34,0.468521082957745,0.180456064458132
0.341,0.467245621007502,0.18111458540599
0.342,0.465973893943865,0.181774106386045
0.343,0.464705879957229,0.182434630440219
0.344,0.46344155742847,0.18309616062434
0.345,0.462180904926726,0.183758700008217
0.346,0.460923901207223,0.184422251675733
0.347,0.459670525209126,0.185086818724926
0.348,0.458420756053419,0.18575240426808
0.349,0.45717457304082,0.186419011431808
0.35,0.455931955649724,0.187086643357145
0.351,0.454692883534176,0.187755303199631
